"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Affiliations","Authors with affiliations","Abstract","Author Keywords","Index Keywords","Funding Details","Funding Texts","Correspondence Address","Editors","Publisher","ISSN","ISBN","CODEN","PubMed ID","Language of Original Document","Abbreviated Source Title","Document Type","Publication Stage","Open Access","Source","EID"
"Su Q.; Lai J.; Zhang G.; Feng S.; Shi W.","Su, Qingfeng (7201716068); Lai, Jianming (58371826900); Zhang, Genfa (56170435700); Feng, Shijun (55437712800); Shi, Weimin (7402664741)","7201716068; 58371826900; 56170435700; 55437712800; 7402664741","Flexible thin film solar cells using in the car","2010","EVS 2010 - Sustainable Mobility Revolution: 25th World Battery, Hybrid and Fuel Cell Electric Vehicle Symposium and Exhibition","","","","","","","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84907381833&partnerID=40&md5=a4c250608fd46fc6b63349e671685054","Shanghai Lianfu New Energy S and T Co., Ltd., Shanghai, 201201, No. 1003 Wangqiao Road, China; Department of Electronics and Information Materials, Shanghai University, Shanghai, 200072, No. 149 Yanchang Road, China","Su Q., Shanghai Lianfu New Energy S and T Co., Ltd., Shanghai, 201201, No. 1003 Wangqiao Road, China, Department of Electronics and Information Materials, Shanghai University, Shanghai, 200072, No. 149 Yanchang Road, China; Lai J., Shanghai Lianfu New Energy S and T Co., Ltd., Shanghai, 201201, No. 1003 Wangqiao Road, China; Zhang G., Shanghai Lianfu New Energy S and T Co., Ltd., Shanghai, 201201, No. 1003 Wangqiao Road, China; Feng S., Shanghai Lianfu New Energy S and T Co., Ltd., Shanghai, 201201, No. 1003 Wangqiao Road, China; Shi W., Department of Electronics and Information Materials, Shanghai University, Shanghai, 200072, No. 149 Yanchang Road, China","In recent years, greenhouse gas emissions and exhaustion of natural fossil resources have become serious global issue. Renewable energy technologies are being explored to meet the challenges of energy security and climate change. Solar energy is a clean and green renewable source of energy. It is an inevitable option to use photovoltaic effect to directly convert sunlight into electricity. CuIn1-xGaxSe2 (CIGS) thin films were formed from an electrodeposited CuInSe2 (CIS) precursor by thermal processing in vacuum in which the film stoichiometry was adjusted by adding In, Ga and Se. The structure, composition, morphology and opto-electronic properties of the as-deposited and selenized CIS precursors were characterized by various techniques. A 17.2% CIGS based thin film solar cell was developed using the electrodeposited and processed film. The cell structure consisted of Mo/CIGS/CdS/ZnO/MgF2. The cell parameters such as Jsc, Voc, FF and η were determined from I-V characterization of the cell. The solar electric vehicle is made using flexible thin film solar cells. With the solar cell the full charge endurance of SEV can be increased about 35% substantially compared with no solar cells.","Electric vehicle; Flexible; Lightweight; Solar cells; Thin film","Climate change; Electric vehicles; Electrodeposition; Electronic properties; Energy policy; Gallium; Greenhouse gases; Solar cells; Solar energy; Thin films; Flexible; Flexible thin film solar cells; IV characterization; Lightweight; Optoelectronic properties; Renewable energy technologies; Solar electric vehicles; Thin film solar cells; Semiconducting selenium compounds","","","","","Electric Drive Transportation Association","","","","","English","EVS - Sustainable Mobil. Revolut.: World Battery, Hybrid Fuel Cell Electr. Veh. Symp. Exhib.","Conference paper","Final","","Scopus","2-s2.0-84907381833"
"Cornils H.","Cornils, Helene (54791870300)","54791870300","Medium-duty plug-in hybrid electric vehicle for utility fleets","2010","SAE Technical Papers","","","","90","100","10","0","10.4271/2010-01-1933","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85072356839&doi=10.4271%2f2010-01-1933&partnerID=40&md5=8efb518c3ed9ded1985552449b7284df","Eaton Corp., United States","Cornils H., Eaton Corp., United States","Current concerns about climate change, energy security and record high oil prices have triggered high enthusiasm and push for plug-in vehicles. Widespread adoption of plug-in vehicles would result in significant reductions in CO2 emissions from transportation. It would also reduce our dependence on fossil fuels by replacing petroleum-sourced energy with renewable, domestically produced electricity. While a few OEMs have successfully launched hybrid vehicles and even toyed with plug-in hybrid solutions in the passenger car market segment, little attention has been placed on heavier commercial vehicles. Large utilities operate fleets of several hundred diesel-power trouble trucks to repair and maintain their transmission and distribution infrastructure. Medium-duty segment is over a million vehicles annually. These vehicles are typically driven in densely populated neighborhoods. Idling emissions and noise from Utility service vehicles are disruptive to residential areas and expose operators to diesel exhaust for extended periods. Plug-in Hybrid technology offers a number of advantages to the traditional utility truck. Using stored battery energy, the vehicles can operate extended hours continuous, running the bucket, power tools, lights and accessories while the engine is turned off. In 2006, the Electric Power Research Institute (EPRI) and Eaton Corporation partnered in an initiative to develop the first medium duty Diesel plug-in hybrid vehicle, retrofitting a Ford class V F550 trouble truck with Eaton's hybrid power train with a grid-rechargeable 16kWh lithium ion battery. This paper presents the design, development and testing results of this Plug-in Hybrid Vehicle and details the mechanical and electrical integration of the hybrid drive train, high energy batteries and on-board charging system, to provide quiet and emissions-free standby operations and hybrid operation while driving. This paper also discuss the benefits and trade-offs of the system architecture, battery sustaining / depleting strategy and estimated impact on the grid. Copyright © 2010 SAE International.","","Climate change; Commerce; Commercial vehicles; Economic and social effects; Energy security; Fossil fuels; Integration testing; Lithium-ion batteries; Passenger cars; Powertrains; Development and testing; Domestically produced; Eaton corporations; Electric Power Research Institute; Mechanical and electrical integrations; Plug in hybrid electric vehicles; System architectures; Transmission and distribution; Plug-in hybrid vehicles","","","","","SAE International","01487191","","","","English","SAE Techni. Paper.","Conference paper","Final","","Scopus","2-s2.0-85072356839"
"McCulloch M.D.; Bishop J.D.K.; Doucette R.T.","McCulloch, Malcolm D. (7102869557); Bishop, Justin D. K. (23097396400); Doucette, Reed T. (36494138800)","7102869557; 23097396400; 36494138800","Using electric vehicles for road transport","2012","Energy, Transport, & the Environment: Addressing the Sustainable Mobility Paradigm","9781447127178","","","223","252","29","1","10.1007/978-1-4471-2717-8_12","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930035519&doi=10.1007%2f978-1-4471-2717-8_12&partnerID=40&md5=9896326231041abd4f611f436219a159","Department of Engineering Science, Energy and Power Group, University of Oxford, Parks Road, Oxford, OX1 3PJ, United Kingdom; Department of Engineering Science, Oxford Martin School, C/o University of Oxford, Parks Road, Oxford, OX1 3PJ, United Kingdom","McCulloch M.D., Department of Engineering Science, Energy and Power Group, University of Oxford, Parks Road, Oxford, OX1 3PJ, United Kingdom; Bishop J.D.K., Department of Engineering Science, Oxford Martin School, C/o University of Oxford, Parks Road, Oxford, OX1 3PJ, United Kingdom; Doucette R.T., Department of Engineering Science, Energy and Power Group, University of Oxford, Parks Road, Oxford, OX1 3PJ, United Kingdom","Road vehicles account for almost half of the energy used in all transport modes globally. Reducing energy use in vehicles is key to meeting the forecast increase in demand for transport, while improving energy security and mitigating climate change. Non-powertrain vehicle options may reduce fuel consumption by at least 15%. Electric motors are the significant powertrain option to reduce energy use in vehicles because they are more efficient than the internal combustion engine and can recover a portion of the vehicle kinetic energy during braking. Conventionally, batteries are used to meet both the power and energy demands of electric vehicles and their variants. However, batteries are well-suited to store energy, while ultra-capacitors and high-speed flywheels are better placed to meet the bidirectional, high power requirements of real-world driving. Combining technologies with complementary strengths can yield a lower cost and more efficient energy storage system. While pure and hybrid electric vehicles use less energy than internal combustion engine vehicles, their ability to mitigate climate change is a function of the emissions intensity of the processes used to generate their electricity. © Springer-Verlag London 2012. All rights are reserved.","","Climate change; Combustion; Electric batteries; Energy efficiency; Engines; Hybrid vehicles; Internal combustion engines; Kinetics; Powertrains; Roads and streets; Vehicles; Emissions intensity; Energy demands; Energy storage systems; Internal combustion engine vehicles; Real-world drivings; Road transports; Transport modes; Ultracapacitors; Secondary batteries","","","","","Springer-Verlag London Ltd","","978-144712717-8; 978-144712716-1","","","English","Ener., Transp., & the Environ.: Addressing the Sustainable Mobil. Paradigm","Book chapter","Final","","Scopus","2-s2.0-84930035519"
"Popczyk J.","Popczyk, Jan (6508347700)","6508347700","Synergism; [Synergetyka]","2011","Przeglad Elektrotechniczny","87","6","","6","16","10","1","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80051516002&partnerID=40&md5=31982cd28ae0306459afdb3c451145b2","Politechnika Ślaska, Instytut Elektroenergetyki i Sterowania Układów, 44-101 Gliwice, ul. B. Krzywoustego 2, Poland","Popczyk J., Politechnika Ślaska, Instytut Elektroenergetyki i Sterowania Układów, 44-101 Gliwice, ul. B. Krzywoustego 2, Poland","The concept of synergism implies the synthesis of long-term stmctural changes (technological, economic and social), including - in the context of energy security - construction (smart plus-energy building), transport (electric vehicle), agriculture (energy agriculture - biogas, biorefineries) and energy industry (RES/DDG) which will occur in the Smart Grid environment and address concerns for ecological safety.","Energy strategy; Mart grid","","","","J. Popczyk; Politechnika Ślaska, Instytut Elektroenergetyki i Sterowania Układów, 44-101 Gliwice, ul. B. Krzywoustego 2, Poland; email: Jan.Popczyk@polsl.pl","","","00332097","","","","Polish","Prz. Elektrotech.","Article","Final","","Scopus","2-s2.0-80051516002"
"Matsumoto T.","Matsumoto, Takumi (56311811900)","56311811900","Approach toward achieving sustainable mobility","2011","Technical Digest - International Electron Devices Meeting, IEDM","","","6131470","1.2.1","1.2.4","","0","10.1109/IEDM.2011.6131470","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84857010192&doi=10.1109%2fIEDM.2011.6131470&partnerID=40&md5=e3ea3c67564592fc5122e8d2d316744c","Toyota Motor Corporation, Toyota, Aichi, 471-8571, 1, Toyota-cho, Japan","Matsumoto T., Toyota Motor Corporation, Toyota, Aichi, 471-8571, 1, Toyota-cho, Japan","We are in the process of introducing technologies like hybrid vehicles (HVs) to help reduce CO 2 and address concerns such as energy security and emissions reduction. However, it is clear that further improvements in automotive mobility are required to achieve an even more effective solution for these concerns. For this reason, we are also developing several types of next-generation vehicles, such as plug-in HVs (PHVs), electric vehicles (EVs), and fuel cell HVs (FCHVs). This paper describes our approach toward achieving sustainable mobility and a scenario that focuses on a comparison of the features of PHVs and EVs. It was estimated that PHVs have the potential to reduce fuel consumption by 74%. In contrast, it was calculated that EVs are capable of reducing fuel consumption by 88% if HVs are used for an entire trip over longer distances which EVs cannot be used. © 2011 IEEE.","","Electric vehicles; Electron devices; Emission control; Hybrid vehicles; Effective solution; Emissions reduction; Energy security; Plug-ins; Sustainable mobility; Carbon dioxide","","","T. Matsumoto; Toyota Motor Corporation, Toyota, Aichi, 471-8571, 1, Toyota-cho, Japan; email: takumi@matsumoto.tec.toyota.co.jp","","","01631918","978-145770505-2","TDIMD","","English","Tech. Dig. Int. Electron Meet. IEDM","Conference paper","Final","","Scopus","2-s2.0-84857010192"
"Shiiki M.; Shimizu H.","Shiiki, Mamoru (55583734300); Shimizu, Hiroshi (9233773400)","55583734300; 9233773400","The future prospects for open source business models in the world of electric vehicles: Businesses in which industry players cooperate to share state-of-the-art technology","2012","World Electric Vehicle Journal","5","4","","881","885","4","0","10.3390/wevj5040881","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84940997774&doi=10.3390%2fwevj5040881&partnerID=40&md5=e54a29217b9b794a945665c59635ab59","Graduate School of Media and Governance, Keio University, 5322 Endo Fujisawa City, Kanagawa, Japan; Faculty of Environment and Information Studies, Graduate School of Media and Governance, Keio University, Japan","Shiiki M., Graduate School of Media and Governance, Keio University, 5322 Endo Fujisawa City, Kanagawa, Japan; Shimizu H., Faculty of Environment and Information Studies, Graduate School of Media and Governance, Keio University, Japan","In recent years, a series of incidents have drawn society's attention to issues of environmental awareness and energy security. As a result, electric vehicles (hereafter, ""EV"") are attracting attention around the world. To stimulate their economies, countries are preparing measures and policies to acquire EV-related core technologies and develop new markets quickly. In this paper, we argue that, given these circumstances, the development of open source businesses in the EV industry will contribute to solving a wide variety of problems, from industry-specific to social issues. Furthermore, we advance the hypothesis that this strategy may prove to be a model both sustainable and profitable. We qualitatively evaluate the utility of our hypothesis on the basis of the SIM-Drive Corporation's actual performance, which has been promoting a similar business model in the EV industry.","Hiroshi Shimizu; In-wheel motor; Open source; SIM-drive","Energy security; Business modeling; Environmental awareness; Hiroshi Shimizu; In-wheel motor; Open source business models; Open sources; Sim drives; State-of-the-art technology; Electric vehicles","","","","","AVERE","20326653","","","","English","World Electr. Veh. J.","Article","Final","All Open Access; Gold Open Access; Green Open Access","Scopus","2-s2.0-84940997774"
"Nazir S.M.","Nazir, Samir M. (36683064400)","36683064400","Maximizing societal benefits associated with alternative fuel subsidies: The case of plug-in hybrid electric vehicles","2010","2010 IEEE Conference on Innovative Technologies for an Efficient and Reliable Electricity Supply, CITRES 2010","","","5619779","357","364","7","0","10.1109/CITRES.2010.5619779","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650353859&doi=10.1109%2fCITRES.2010.5619779&partnerID=40&md5=fd00a5a85a74a437ac4771a796c67a5d","Research and Engineering Technology Co-op - Magna Powertrain, Troy, MI, United States; Rochester Institute of Technology, United States","Nazir S.M., Research and Engineering Technology Co-op - Magna Powertrain, Troy, MI, United States, Rochester Institute of Technology, United States","Plug-in hybrid electric vehicles (PHEVs) have many societal benefits, including improving energy security, economic, environmental, and health benefits. The magnitude of these benefits depends on the location of PHEV deployment. This paper develops and applies a methodology for ranking regions throughout the U.S. based on PHEV benefits. The independent variables in this ranking method include population density, health benefits from reduced ozone pollution, vehicle miles traveled per capita, existence of non-federal policies, and carbon intensity of electricity. By shedding light on how benefits vary across different regions, this research seeks to better inform where to enact government interventions to maximize the benefits of PHEVs. ©2010 IEEE.","","Air pollution; Alternative fuels; Automobiles; Electric vehicles; Ozone; Population statistics; Secondary batteries; Carbon intensity; Energy security; Federal policies; Government intervention; Health benefits; Independent variables; Ozone pollution; Per capita; Plug-In Hybrid Electric Vehicle; Plug-in hybrid electric vehicles; Population densities; Ranking methods; Shedding light; Societal benefits; Vehicle-miles traveled; Innovation","","","S. M. Nazir; Research and Engineering Technology Co-op - Magna Powertrain, Troy, MI, United States; email: samirn79@hotmail.com","","","","978-142446076-2","","","English","IEEE Conf. Innovative Technol. Effic. Reliable Electr. Supply, CITRES","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-78650353859"
"Hajiamiri S.; Wachs M.","Hajiamiri, Sara (26631657900); Wachs, Martin (7006589685)","26631657900; 7006589685","Hybrid electric vehicles and implications for transportation finance","2010","Public Works Management and Policy","15","2","","121","135","14","8","10.1177/1087724X10378173","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78049319437&doi=10.1177%2f1087724X10378173&partnerID=40&md5=d639dcc81e44d29c99e221c353e28c07","Pardee RAND Graduate School, Santa Monica, CA 90401 3208, 1776 Main Street, United States; RAND Corporation, Santa Monica, CA, United States","Hajiamiri S., Pardee RAND Graduate School, Santa Monica, CA 90401 3208, 1776 Main Street, United States; Wachs M., RAND Corporation, Santa Monica, CA, United States","Fuel efficiency improvements in the U.S. vehicle fleet are slowing growth in gasoline consumption. Although this is desirable with respect to goals for achieving energy security and environmental improvement, it has adverse implications for the current system of transportation finance. Reductions in gasoline consumption relative to the amount of driving that takes place result in reductions in fuel tax revenues that fund transportation projects. The authors estimate the magnitude of the forgone tax revenue when a hybrid electric vehicle displaces a similar-sized conventional gasoline-powered vehicle. The authors find that under several vehicle electrification scenarios, the combined federal and state trust fund contributions could decline by as much as 5% because of new hybrid electric cars to be sold in 2020 and as much as 12.5% because of those to be sold in 2030. Alternative fee systems more directly tied to the use of the transportation system rather than to fuel consumption should be considered, which could reconcile energy security, environmental, and transportation finance goals. © The Author(s) 2010.","electric vehicles; environment; fuel tax; transportation finance","","","","S. Hajiamiri; Pardee RAND Graduate School, Santa Monica, CA 90401 3208, 1776 Main Street, United States; email: sarah@prgs.edu","","","15527549","","","","English","Public Works Manage. Policy","Article","Final","","Scopus","2-s2.0-78049319437"
"Smith J.","Smith, James (57199013833)","57199013833","Time to skill","2010","Engineer","8-MARCH","","","","","2","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-78650881090&partnerID=40&md5=8611cde0275c01fe95a36ad12c6b563f","Energy Institute, United Kingdom","Smith J., Energy Institute, United Kingdom","Britain's energy system needs a major rebuild to meet the challenges of energy security and tackling climate change. The main challenges are keeping the lights on and a 90 per cent decarbonisation of the economy by 2050. Transport infrastructure will also need a major upgrade to improve energy efficiency and reduce CO2 emissions. Cars will need to be lighter and have more efficient internal combustion engines. New technologies such as more sustainable biofuels and electric mobility will have to be developed and deployed. Rebuilding the energy system is a giant project that needs to be delivered through major physical infrastructure. That means a huge demand for craft and practical skills in building and operation. The UK must spread the message through schools and universities about the great careers and job satisfaction the energy industry can provide. The government should revitalize apprenticeship programs with an emphasis on the craft skills vital to the energy infrastructure.","","Climate change; Electric vehicles; Internal combustion engines; Job satisfaction; Apprenticeship programs; Britain; CO2 emissions; Craft skills; Electric mobility; Energy industry; Energy infrastructures; Energy security; Energy systems; In-buildings; New technologies; Practical skill; Transport infrastructure; Energy efficiency","","","","","","00137758","","ENGIA","","English","Engineer","Short survey","Final","","Scopus","2-s2.0-78650881090"
"Vine M.","Vine, Megan (55735336200)","55735336200","Energy security, oil and the transport sector - Is Australia's policy adequate, reliable and affordable?","2012","Environmental and Planning Law Journal","29","5","","401","414","13","2","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84867191259&partnerID=40&md5=b16adb8905078a41a913b09f6c87d8e7","University of Sydney, Australia","Vine M., University of Sydney, Australia","For many countries around the world, including Australia, ensuring energy security is a recognised priority. In particular, security of oil is at the forefront of energy security policies due to its use in the transport sector. Many strategies are now being implemented to decrease reliance on oil from development of alternative fuels to use of electric vehicles. This article assesses the adequacy of Australia's energy security policy in the road transport sector and comments on what lessons, if any, can be learnt from the United States and China. It concludes that a solution to this issue will not be one dimensional and will require the consideration of a number of differing perspectives.","","Australia; energy planning; energy policy; energy resource; oil supply; policy implementation; resource allocation; resource availability; strategic approach; transportation system","","","","","","0813300X","","","","English","Environ. Plann. Law J.","Article","Final","","Scopus","2-s2.0-84867191259"
"Veenstra M.J.; Gearhart C.","Veenstra, Michael J. (36100626000); Gearhart, Chris (6603631595)","36100626000; 6603631595","A pareto frontier analysis of renewable-energy consumption, range, and cost for hydrogen fuel cell vs. Battery electric vehicles","2012","SAE International Journal of Alternative Powertrains","1","1","","354","364","10","0","10.4271/2012-01-1224","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84879921147&doi=10.4271%2f2012-01-1224&partnerID=40&md5=e1a71f051c74cc12d37b80353dd5c856","Ford Motor Company, Research and Advanced Engr., Fuel Cell Center, Dearborn, MI 48121, 1201 Village Road, United States","Veenstra M.J., Ford Motor Company, Research and Advanced Engr., Fuel Cell Center, Dearborn, MI 48121, 1201 Village Road, United States; Gearhart C., Ford Motor Company, Research and Advanced Engr., Fuel Cell Center, Dearborn, MI 48121, 1201 Village Road, United States","As automakers strategize approaches to sustainable vehicle technologies, alternative powertrains must be considered to reduce future fleet vehicle emissions and improve energy security. These alternative vehicles include different fuels and electrification. The ultimate for on-road CO2 reductions is a zero emission vehicle, which can be achieved by either a hydrogen fuel cell or battery electric vehicle. These vehicles would also require a renewable energy source to provide their propulsion energy in order to achieve maximum sustainability for both CO2 reduction and energy security. Renewable energy sources such as wind or solar result in heat or electricity that needs to be generated into an energy carrier such as hydrogen or stored in a battery. When examining these options based strictly on the efficiency path, previous analysis have concluded fuel cell vehicles may not be an appropriate suitability strategy in comparison to battery electric vehicles. However, the viability of an alternative vehicle requires a comprehensive assessment of the various vehicle parameters that affect the customer satisfaction. In particular, this paper examines the renewable energy consumption, range, and cost for hydrogen fuel cell and battery electric vehicles. In particular, these conflicting attributes are examined using an objective Pareto frontier analysis to evaluate the trade-offs and trends that should be considered when developing a sustainability strategy. Copyright © 2012 SAE International.","","Battery electric vehicles; Carbon dioxide; Cost benefit analysis; Customer satisfaction; Economic and social effects; Electric batteries; Energy policy; Energy security; Energy utilization; Fleet operations; Fuel cells; Ground vehicle parts and equipment; Hydrogen; Hydrogen fuels; Natural resources; Renewable energy resources; Solar power generation; Sustainable development; Vehicle parts and equipment; Vehicles; Alternative vehicles; Comprehensive assessment; Fuel cell vehicles; Renewable energy consumption; Renewable energy source; Sustainability strategies; Vehicle technology; Zero emission vehicles; Secondary batteries","","","","","SAE International","21674191","","","","English","SAE Int. J. Altern. Powertrains","Conference paper","Final","","Scopus","2-s2.0-84879921147"
"Pieltain Fernández L.; Gómez San Román T.; Cossent R.; Mateo Domingo C.; Frías P.","Pieltain Fernández, Luis (36859541100); Gómez San Román, Tomás (54421734800); Cossent, Rafael (25929093100); Mateo Domingo, Carlos (36881937500); Frías, Pablo (24757759300)","36859541100; 54421734800; 25929093100; 36881937500; 24757759300","Assessment of the impact of plug-in electric vehicles on distribution networks","2011","IEEE Transactions on Power Systems","26","1","5471115","206","213","7","998","10.1109/TPWRS.2010.2049133","https://www.scopus.com/inward/record.uri?eid=2-s2.0-79151477725&doi=10.1109%2fTPWRS.2010.2049133&partnerID=40&md5=a385cd9557f2e09906e066f6697adda1","ENAGAS S.A., Madrid, Spain; Instituto de Investigación Tecnológica, Universidad Pontificia Comillas, Madrid, Spain","Pieltain Fernández L., ENAGAS S.A., Madrid, Spain; Gómez San Román T., Instituto de Investigación Tecnológica, Universidad Pontificia Comillas, Madrid, Spain; Cossent R., Instituto de Investigación Tecnológica, Universidad Pontificia Comillas, Madrid, Spain; Mateo Domingo C., Instituto de Investigación Tecnológica, Universidad Pontificia Comillas, Madrid, Spain; Frías P., Instituto de Investigación Tecnológica, Universidad Pontificia Comillas, Madrid, Spain","Plug-in electric vehicles (PEVs) present environmental and energy security advantages versus conventional gasoline vehicles. In the near future, the number of plug-in electric vehicles will likely grow significantly in the world. Despite the aforementioned advantages, the connection of PEV to the power grid poses a series of new challenges for electric utilities. This paper proposes a comprehensive approach for evaluating the impact of different levels of PEV penetration on distribution network investment and incremental energy losses. The proposed approach is based on the use of a large-scale distribution planning model which is used to analyze two real distribution areas. Obtained results show that depending on the charging strategies, investment costs can increase up to 15% of total actual distribution network investment costs, and energy losses can increase up to 40% in off-peak hours for a scenario with 60% of total vehicles being PEV. © 2010 IEEE.","Distribution investment; distribution network planning; electricity distribution; network energy losses; plug-in electric vehicles","Automobiles; Distributed parameter networks; Electric losses; Electric power distribution; Electric utilities; Electric vehicles; Electron energy loss spectroscopy; Power generation; Distribution investment; Distribution network planning; electricity distribution; Energy loss; Plug-ins; Investments","","","L. Pieltain Fernández; ENAGAS S.A., Madrid, Spain; email: lpieltain@gmail.com","","","08858950","","ITPSE","","English","IEEE Trans Power Syst","Article","Final","","Scopus","2-s2.0-79151477725"
"Shen W.; Han W.","Shen, Wei (56982224900); Han, Weijian (7401899985)","56982224900; 7401899985","Well-to-wheel analyses for energy consumption and greenhouse gas emissions of electric vehicles using various thermal power generation technologies in China","2013","Lecture Notes in Electrical Engineering","191 LNEE","VOL. 3","","101","115","14","4","10.1007/978-3-642-33777-2_8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84869471271&doi=10.1007%2f978-3-642-33777-2_8&partnerID=40&md5=e701d7f37b49ba6875e2f45af689365f","APA Research, Ford Motor Company, Beijing Yintai Center, 100022, Beijing, No. 2 Jianguomenwai Street, Chaoyang District, China; APA Research, Ford Motor Company, 1317 RIC, Dearborn, MI 48121, 2101 Village Road, United States","Shen W., APA Research, Ford Motor Company, Beijing Yintai Center, 100022, Beijing, No. 2 Jianguomenwai Street, Chaoyang District, China; Han W., APA Research, Ford Motor Company, 1317 RIC, Dearborn, MI 48121, 2101 Village Road, United States","Since majority of electricity in China is generated from coal and natural gas, the study carried out WTW analyses for battery electric vehicles (BEVs) using China's various thermal power generation technologies and compare their total energy use and GHG emissions against gasoline or diesel internal combustion engine vehicles (ICEVs), as well as hybrid electric vehicles (HEVs). The WTW analyses of BEVs, HEVs and ICEVs were conducted using the GREET (Greenhouse gases, regulated emissions, and energy use in Transportation) model developed by Argonne National Lab combined with a localized database of Chinese domestic data. A 2011 mid-size gasoline car is used as a baseline. Two types of BEV assumed in this study: Common BEVs and High-efficient BEVs. Common BEV pathways will save up to 99 % petrol consumption. However, comparing to that of HEV pathway, WTW energy consumption of all Common BEV pathways will be increased, with a maximum of 71 %. WTW energy consumption of High-efficient BEVs will be 2-29 % less than the WTW energy in the HEV pathway. GHG emissions of Common BEVs depend on differences in power generation technologies. Without CCS, the WTW GHG emissions of Common BEVs using coal-fired electricity are 11-77 % higher than the WTW GHG emissions of the baseline. When USC and IGCC generation technologies are equipped with CCS, the WTW GHG emissions of High-efficient BEVs are 79-83 % less than that of the baseline, and 69-75 % less than the hybrid pathway. This is the first time that a WTW analysis in China at this magnitude was completed with a fully localized fuel-cycle database. Outcomes of the study provide more relevance and accuracy for both the government and industry to develop strategies and policies in China. The model and database developed in this study can be used for analysis both at national and regional levels. This study did not include the energy use and GHG emissions in vehicle manufacturing stage. Although it is a small portion in the analysis, it could provide understanding of the difference in vehicle manufacturing process between EVs and traditional gasoline vehicles. This paper shows that the Common BEVs currently demonstrated are not a silver bullet for attacking energy consumption challenges and GHG emissions. In China context, full HEVs seem more attractive than Common BEVs to deal with energy security and GHG reduction challenge today. In order to achieve GHG reduction targets through vehicle electrification, China must promote CCS technology to help USC and IGCC power plants deliver low-carbon transportation energy on supply side. At the same time, High-efficient BEVs have to be set as the highest priority of automotive technology development. © 2013 Springer-Verlag.","China; Electric vehicle; GHG emissions; Thermal power generation; Well-to-Wheel Analysis","Combined cycle power plants; Database systems; Electric power generation; Electric utilities; Electric vehicles; Energy utilization; Gas emissions; Gasoline; Hybrid vehicles; Internal combustion engines; Technology; Wheels; Automotive technology; Battery electric vehicles; China; Coal-fired electricity; Energy security; Energy use; Gasoline vehicle; Generation technologies; GHG emission; In-vehicle; Internal combustion engine vehicles; Low-carbon; Petrol consumption; Power generation technology; Reduction targets; Regional levels; Regulated emissions; Thermal power generation; Total energy; Well-to-wheel analysis; Greenhouse gases","","","W. Shen; APA Research, Ford Motor Company, Beijing Yintai Center, 100022, Beijing, No. 2 Jianguomenwai Street, Chaoyang District, China; email: wshen5@ford.com","","","18761119","978-364233776-5","","","English","Lect. Notes Electr. Eng.","Conference paper","Final","","Scopus","2-s2.0-84869471271"
